Gene,TCGA-HZ-A9TJ-06A-11R-A41B-07,TCGA-HZ-A9TJ-01A-11R-A41I-07,TCGA-HZ-7289-01A-11R-2156-07,TCGA-US-A77E-01A-11R-A32O-07,TCGA-YH-A8SY-01A-11R-A37L-07,TCGA-HZ-A77Q-01A-11R-A36G-07,TCGA-RB-A7B8-01A-12R-A33R-07,TCGA-HZ-A4BK-01A-11R-A26U-07,TCGA-HZ-A77P-01A-11R-A33R-07,TCGA-3A-A9IV-01A-11R-A41B-07,TCGA-2J-AABH-01A-21R-A41B-07,MAX,AVG,MED,MIN
RPL26,9687.9293,11143.5674,14933.6121,6646.7249,7507.5935,6582.8437,9995.221,6123.433,9114.2638,8906.4122,7355.8362,14933.6121,8908.857918,8906.4122,6123.433
RPS5,22749.1004,36613.5148,21835.8599,6650.655,9026.285,7326.087,8787.3357,8752.6519,9292.9448,7846.7799,11700.784,36613.5148,13689.27258,9026.285,6650.655
CCL24,0,10.3096,2507.057,6.5502,6.4252,84.0188,31.0633,11.0897,172.1626,0,19.1638,2507.057,258.8945636,11.0897,0
SEMG1,0.4362,0,0,2.1834,8.1776,1.7626,5.3763,15.4291,2.3006,0,8.7108,15.4291,4.034236364,2.1834,0
SHMT2,1239.9956,1737.1731,5588.6043,955.0218,1414.7196,1186.839,1459.3787,1416.5863,991.5644,3493.7561,993.0314,5588.6043,1861.515482,1414.7196,955.0218
SRMS,34.4564,12.6007,91.4794,40.6114,21.6121,21.1516,20.908,26.0366,43.3282,0,0,91.4794,28.3804,21.6121,0
SSX4,0,0,282.2791,0,0,0,0,1.4465,0,0,0,282.2791,25.79323636,0,0
STAR,28864.4641,4.5821,1.0455,3.4934,4.6729,19.389,4.1816,4.8216,17.638,3.9287,4.3554,28864.4641,2630.233845,4.5821,1.0455
SULT2A1,394.7225,1.1455,0,0.8734,0,0,4.1816,0,0.3834,0,0,394.7225,36.4824,0,0
SYT5,128.6664,33.2199,40.7737,9.607,31.5421,2.9377,25.687,6.2681,47.9294,5412.0949,96.2544,5412.0949,530.4527818,33.2199,2.9377
TEK,232.9081,248.5767,18.8186,176.4192,157.1262,668.0376,317.8017,269.0453,633.4356,92.0443,186.8467,668.0376,272.8236364,232.9081,18.8186
TERT,0,2.291,4.7047,0,4.0888,0,2.3895,1.9286,3.0675,0,1.3066,4.7047,1.797881818,1.9286,0
TH,6322.9746,0,0,1.31,6.4252,0.5875,0,50.6268,6.5184,0.5612,1.3066,6322.9746,580.9373,1.3066,0
TOP2A,1200.7415,1033.8271,1598.0136,619.214,1294.9766,556.4042,443.2497,823.5294,820.1687,1623.6846,847.9965,1623.6846,987.4369,847.9965,443.2497
TOP2B,2445.0987,3295.6459,2551.4898,2206.9869,1662.3832,2854.2891,2281.9594,2044.8409,3294.4785,2333.6607,2659.4077,3295.6459,2511.840073,2445.0987,1662.3832
PHLDA2,1391.3423,3754.4246,1818.0868,707.4236,1401.8692,790.2468,1316.0096,631.1475,362.7301,7.8574,1902.0035,3754.4246,1280.285582,1316.0096,7.8574
UBE2B,1012.7576,1622.0489,738.6304,1551.5284,1300.2336,1565.8049,1106.3321,1341.3693,1077.0706,1286.937,1107.1429,1622.0489,1246.350518,1286.937,738.6304
UGT2B4,0,0.5728,2.091,0,0,0,5.9737,0.4822,3.0675,220.0084,0.4355,220.0084,21.14828182,0.4822,0
CLRN1,12.6486,0,0,0.4367,0,0,0,0,0,0,0,12.6486,1.189572727,0,0
VEGFA,3826.8455,3565.9874,1747.517,5273.7991,6497.6636,4416.5687,2982.0789,2274.8312,1286.8098,6204.5742,2262.6307,6497.6636,3667.209645,3565.9874,1286.8098
VTN,2506.5969,212.493,0.5227,175.5459,12.8505,65.2174,72.282,742.5265,328.6043,69976.1414,273.5192,69976.1414,6760.572709,212.493,0.5227
VWF,1845.3822,3757.2883,1484.5792,2662.0087,5773.3645,8166.275,3555.5556,5126.3259,7672.1626,2586.2214,2505.662,8166.275,4103.165945,3555.5556,1484.5792
ZNF135,37.5095,34.9382,3.6592,73.7991,86.4486,100.47,111.7085,94.9855,129.9847,28.6235,91.899,129.9847,72.18416364,86.4486,3.6592
ZNF223,159.9913,104.0528,29.0695,103.2795,108.2243,76.9683,97.3477,94.0791,90.6173,93.2735,156.2979,159.9913,101.2001091,97.3477,29.0695
PTP4A2,2194.3081,3747.5515,4890.2248,2352.4017,2110.9813,2739.718,2375.7467,2148.5053,1976.6104,1516.4866,1923.3449,4890.2248,2543.261755,2194.3081,1516.4866
USP9X,2237.0516,1728.009,4051.7512,2786.4629,3121.4953,3058.7544,2463.5603,3972.5169,3034.1258,4263.7856,3281.7944,4263.7856,3090.846127,3058.7544,1728.009
UBL4A,867.9533,1133.4868,1348.667,1016.5939,1389.0187,795.5347,862.6045,1240.1157,978.5276,1236.4249,1143.2927,1389.0187,1092.019982,1133.4868,795.5347
FZD9,4.7977,0,672.2426,1.7467,4.6729,1.7626,2.9869,4.3394,19.5552,0,2.1777,672.2426,64.9347,2.9869,0
PIR,100.7524,92.2139,211.7094,48.4716,199.7664,118.6839,133.8112,149.9518,218.1748,162.2001,104.9652,218.1748,140.0637,133.8112,48.4716
AOC3,739.2869,1020.6536,32.9326,2040.6114,943.3411,2674.5006,2052.5687,727.5796,8797.1626,303.0728,757.8397,8797.1626,1826.322691,943.3411,32.9326
GALNT4,2336.0026,2458.4178,3714.0251,5877.3843,496.7582,1328.0552,3329.5042,4863.1485,1922.9985,663.2636,1043.1185,5877.3843,2548.425136,2336.0026,496.7582
RABEP1,824.8523,659.7191,517.9456,1205.8559,722.5,1121.1105,1321.135,895.3761,1322.2124,1827.1082,849.4774,1827.1082,1024.299318,895.3761,517.9456
SLC28A1,3.4893,1.7183,5.2274,2.6201,0.5841,0.5875,1.7921,3.8573,3.0675,7.2962,2.6132,7.2962,2.986636364,2.6201,0.5841
NOLC1,1774.7247,1771.5385,2350.758,1343.6681,2344.0421,1897.7673,1256.8698,1426.7117,1887.2699,1363.2665,2029.1812,2350.758,1767.7998,1774.7247,1256.8698
GPR50,0,0,0,0.4367,0,0,0,0.4822,1.1503,0,0,1.1503,0.188109091,0,0
KL,64.9875,42.9568,7.8411,12.6638,12.8505,35.2526,18.5185,55.4484,412.9601,18362.2843,43.9895,18362.2843,1733.613918,42.9568,7.8411
HOMER2,119.5071,470.8066,1.0455,599.1266,155.9579,203.8778,378.7336,797.9749,396.4724,125.7191,725.6098,797.9749,361.3483,378.7336,1.0455
SPAG6,1.3085,3.4365,346.5761,0,0.5841,0.5875,2.3895,0.4822,2.3006,829.5215,14.8084,829.5215,109.2722636,2.3006,0
CTR9,1175.0082,1061.3194,1774.1767,744.1048,650.1168,978.8484,807.049,850.5304,1086.273,751.5083,897.6481,1774.1767,979.6893727,897.6481,650.1168
NME6,148.7297,210.202,257.7104,117.9039,139.6028,102.8202,107.5269,144.648,157.592,92.6056,226.4808,257.7104,155.0747545,144.648,92.6056
CALCOCO2,2931.8504,2764.6998,2491.3748,2506.1135,1758.7617,1809.6357,1808.2437,2574.7348,2361.5798,3568.9631,2473.8676,3568.9631,2459.074991,2491.3748,1758.7617
KLHL41,6.9742,11.5067,7.3183,6.9869,9.9299,15.5053,13.2198,135.0048,40.4525,3614.7327,38.7631,3614.7327,354.5812909,13.2198,6.9742
UGT2B11,0,0,5.7501,1.31,0,0,1.1947,6.2681,1.6488,4343.3478,3.1315,4343.3478,396.6046364,1.31,0
PPP1R13L,3871.7697,2453.6926,642.9692,1388.2096,2083.528,847.2385,2112.3059,1359.6914,572.8528,359.7587,2991.2892,3871.7697,1698.482327,1388.2096,359.7587
UGT2A1,0,0,0.5227,0,0,0.5875,0.5974,0,0,31.4298,0.4355,31.4298,3.052081818,0,0
NXPH4,27.0418,8.5914,15.6822,13.9738,24.5327,20.564,21.5054,8.1967,8.819,2941.4901,13.0662,2941.4901,282.1330273,15.6822,8.1967
VPS45,883.655,885.4829,364.8719,618.7773,636.0981,649.2362,1038.8292,652.3626,921.3957,559.5622,885.0174,1038.8292,735.9353182,652.3626,364.8719
EXOC3,843.9647,1072.2018,1018.8186,1258.952,1307.243,1095.7697,1259.8566,1378.4957,1384.2025,978.813,1446.8641,1446.8641,1185.925609,1258.952,843.9647
FRMPD1,6.9785,0.5728,2.091,0.4367,4.6729,3.5253,3.5842,7.2324,9.5859,2436.3687,18.2927,2436.3687,226.6673727,4.6729,0.4367
RUFY3,875.8042,726.8291,176.1631,667.6856,758.1776,548.7662,866.7861,614.2719,608.5123,1931.2474,718.2056,1931.2474,772.0408273,718.2056,176.1631
CEP152,105.9863,57.2757,41.2964,76.4192,58.4112,54.6416,87.2162,79.5564,65.5675,43.2159,56.1847,105.9863,65.97919091,58.4112,41.2964
KDM4B,882.3465,616.8597,1775.2222,1040.1747,1287.3832,843.7133,826.7622,980.2314,938.2669,2852.8132,737.3693,2852.8132,1161.922055,938.2669,616.8597
MAST3,832.1884,424.4132,372.713,441.048,529.2056,350.7638,712.0669,643.2015,380.3681,1350.919,527.439,1350.919,596.7569545,527.439,350.7638
ARHGAP26,573.5471,1280.6855,3378.4631,1983.8428,580.6075,1307.2855,1311.828,1749.7589,1585.8896,533.1837,1597.9965,3378.4631,1443.917109,1311.828,533.1837
SARM1,953.1611,620.5883,132.0439,397.6201,282.1612,498.6839,592.491,440.1591,552.8643,2310.5935,499.1899,2310.5935,661.7778455,499.1899,132.0439
TPSG1,2.2026,4.0093,5255.0915,6.6157,4.0888,6.463,42.6822,11.0897,191.3113,21.8886,3.9199,5255.0915,504.4875091,6.6157,2.2026
PPA2,662.5232,1145.5147,1494.5112,912.2271,844.0421,744.4183,854.8387,692.864,1002.684,1356.5315,1334.0592,1494.5112,1004.019455,912.2271,662.5232
SPINK4,7.8508,17.1827,73046.5238,1918.3406,10.514,87.5441,1.1947,7.2324,2947.8528,0,9.1463,73046.5238,7095.762018,10.514,0
NXPH1,162.6867,4.0093,1.0455,0.4367,0,1.1751,0.5974,1.4465,3.4509,8.4187,3.4843,162.6867,16.97737273,1.4465,0
NT5C,1120.9247,1010.9168,527.9665,802.1834,619.1589,461.8096,850.6571,575.217,495.3988,245.2645,702.0906,1120.9247,673.7807182,619.1589,245.2645
KLK12,1.3085,0,4683.2201,0,0.5841,5.8754,0,0,100.0767,0,0,4683.2201,435.5513455,0,0
THAP4,1212.0816,1375.7632,1456.3513,1220.9607,1386.6822,1000,1093.7873,1439.73,1274.5399,1031.5701,1222.561,1456.3513,1246.729755,1222.561,1000
MRPS2,942.8634,850.4817,1166.2049,741.2882,741.0514,736.1222,774.54,909.3394,737.2738,1324.5068,800.3746,1324.5068,884.0042182,800.3746,736.1222
SERPINA10,0,2.8638,29.2734,0.8734,1.1682,0.5875,2.9869,2.4108,6.9018,2779.8513,9.5819,2779.8513,257.8635455,2.8638,0
RWDD1,759.3501,932.449,418.7141,836.6812,707.3598,753.2315,942.055,784.4744,932.1319,701.5575,452.9617,942.055,747.3605636,759.3501,418.7141
TRMT112,1983.6441,1659.2781,865.656,1605.2402,2528.6215,2091.0693,2616.4875,1579.0743,1478.1442,1332.3979,2224.3031,2616.4875,1814.901473,1659.2781,865.656
NLK,558.7177,375.1561,321.4846,341.4847,252.3364,366.04,341.6965,300.8679,326.3037,864.3188,380.662,864.3188,402.6425818,341.6965,252.3364
HAO1,0,1.1455,0,0,0,0,2.3895,0,0,370.9836,2.1777,370.9836,34.24511818,0,0
PRMT7,492.4218,839.6623,431.2598,427.9476,715.5374,468.8602,679.8088,853.4233,503.0675,359.1974,502.6132,853.4233,570.3453909,502.6132,359.1974
SDK2,39.2542,23.4831,1572.3994,45.4148,64.2523,72.2679,57.945,250.7232,198.6196,639.8204,45.2962,1572.3994,273.5887364,64.2523,23.4831
ZNF853,127.7941,146.0531,29.2734,234.9345,318.3411,287.8966,336.3202,191.8997,524.1564,777.3257,191.6376,777.3257,287.7847636,234.9345,29.2734
NXPE4,0,0,243.0737,0.8734,0.5841,2.3502,0,0,0.7669,0,0,243.0737,22.51348182,0,0
BEST2,0,0,224.2551,1.31,0,0,0,0.4822,7.2853,0.5612,0.4355,224.2551,21.30266364,0.4355,0
HEATR3,184.0584,189.0099,203.8683,149.7817,206.7757,237.3678,244.325,271.4561,347.7761,294.0929,244.7735,347.7761,233.9350364,237.3678,149.7817
DDX43,6.9785,8.5914,0.5227,12.2271,5.8411,35.5405,5.3763,70.5159,16.0391,0,6.5331,70.5159,15.28779091,6.9785,0
ITLN1,3.0531,23.4831,24873.4971,5.2402,30.9579,72.2679,7.7658,5.7859,2257.2853,0,1.3066,24873.4971,2480.058445,7.7658,0
NXF2,0.4362,1.1455,0,0,0.5841,0,0,0,0,184.3581,0.1394,184.3581,16.96939091,0,0
PCDHB10,78.9445,123.1428,32.9326,131.0044,146.6121,116.9213,105.7348,109.9325,186.3497,482.1103,110.1916,482.1103,147.6251455,116.9213,32.9326
