Gene,TCGA-CQ-A4CD-01A-21R-A24Z-07,TCGA-RQ-A6JB-01A-11R-A31O-07,TCGA-IF-A4AJ-01A-11R-A24X-07,TCGA-DX-A3UA-01A-12R-A30C-07,MAX,AVG,MED,MIN
OTUD6A,0,0,2.8345,0,2.8345,0.708625,0,0
ZBTB46,37.3251,138.3618,192.7438,4113.9637,4113.9637,1120.5986,165.5528,37.3251
ITLN2,3.6288,0,64.059,0,64.059,16.92195,1.8144,0
SERPINA12,0,0.5087,30.6122,0,30.6122,7.780225,0.25435,0
ABHD12B,3.1104,0,1.7007,149.0294,149.0294,38.460125,2.40555,0
DPY19L3,71.5398,143.9574,264.7392,430.8078,430.8078,227.76105,204.3483,71.5398
FAM71A,0.5184,0,1.7007,0,1.7007,0.554775,0.2592,0
SIK1,18039.9404,1026.0141,113.3787,464.6212,18039.9404,4910.9886,745.31765,113.3787
SLC38A11,1.5552,0,2874.7166,0,2874.7166,719.06795,0.7776,0
ZNF676,0,0,39.1156,6.2617,39.1156,11.344325,3.13085,0
FNDC7,0,0.5087,15.3061,0,15.3061,3.9537,0.25435,0
TTLL9,4.6656,40.186,10.2041,8.1403,40.186,15.799,9.1722,4.6656
SPTSSB,5.184,0.5087,4.5351,0,5.184,2.55695,2.5219,0
PRSS35,0,0,302.7211,8294.928,8294.928,2149.412275,151.36055,0
COL22A1,15.0337,85.4588,3.4014,15757.6706,15757.6706,3965.391125,50.24625,3.4014
PWWP2B,1184.0347,121.5753,91.8367,115.8422,1184.0347,378.322225,118.70875,91.8367
S100Z,0,36.1165,6.2358,1.2523,36.1165,10.90115,3.74405,0
DNAH10,7.7761,4.0695,9.0703,1070.7577,1070.7577,272.9184,8.4232,4.0695
PAGE2,0,0,0,202.2542,202.2542,50.56355,0,0
OR4C6,23.8466,3.0521,0,1.2523,23.8466,7.03775,2.1522,0
OR5M3,0,0,0,0,0,0,0,0
TMEM217,36.5682,17.4173,23.5091,10.0689,36.5682,21.890875,20.4632,10.0689
TMEM196,0,0,0,250.4696,250.4696,62.6174,0,0
SERINC5,49.7668,30.521,23.2426,93.2999,93.2999,49.207575,40.1439,23.2426
TMEM114,0,0,0,117.0946,117.0946,29.27365,0,0
THEM5,105.7544,12.7171,2.2676,2.5047,105.7544,30.81095,7.6109,2.2676
MTX3,471.7476,450.1847,576.5306,6594.2392,6594.2392,2023.175525,524.1391,450.1847
IGFBPL1,0,2.5434,175.1701,0.6262,175.1701,44.584925,1.5848,0
C12orf75,1032.6607,788.459,1192.7438,105.8234,1192.7438,779.921725,910.55985,105.8234
C16orf86,13.4785,92.5803,75.9637,84.5335,92.5803,66.639,80.2486,13.4785
HRNR,12.4417,12.7171,39.6825,6.2617,39.6825,17.77575,12.5794,6.2617
PAGE2B,0,0,0,235.4415,235.4415,58.860375,0,0
OR52A5,0,0,0,0,0,0,0,0
RNASE9,0,0,0,0,0,0,0,0
DBX2,0,0,0,727.6143,727.6143,181.903575,0,0
PRR20A,0,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0,0
TMEM242,231.2082,256.885,456.9161,353.7884,456.9161,324.699425,305.3367,231.2082
